date,post_category,post_type,video_duration,carousel_item_count,impressions,reach,shares,follows,likes,comments,saves
2023-01-01,Mobile,"IG Image",0,0,78394,28049,455,521,2221,48,280
2023-01-02,Mobile,"IG Image",0,0,64532,22709,145,248,1260,51,189
2023-01-03,Mobile,"IG Reel",50,0,127666,61142,659,2069,4488,92,1151
2023-01-04,Mobile,"IG Carousel",0,2,5094,1202,8,33,51,3,8
2023-01-05,Smartwatch,"IG Carousel",0,5,7404,1384,32,40,64,1,10
2023-01-06,Smartwatch,"IG Image",0,0,65854,23150,153,521,2132,47,83
2023-01-07,Earphone,"IG Image",0,0,72252,29082,381,744,2225,29,134
2023-01-08,Mobile,"IG Image",0,0,60638,16516,173,491,1492,24,65
2023-01-09,Mobile,"IG Image",0,0,78591,34532,217,681,1846,87,281
2023-01-10,Mobile,"IG Image",0,0,64207,24524,471,326,1873,54,238
2023-01-11,Mobile,"IG Video",176,0,45343,19897,261,483,1392,47,99
2023-01-12,Mobile,"IG Carousel",0,3,8059,1512,40,19,40,2,12
2023-01-13,Mobile,"IG Carousel",0,4,6885,1499,2,36,33,0,8
2023-01-14,Mobile,"IG Video",295,0,31654,8474,149,198,514,11,42
2023-01-15,Mobile,"IG Carousel",0,2,9677,2083,27,41,67,1,17
2023-01-16,Mobile,"IG Video",203,0,33219,11822,181,291,989,35,59
2023-01-17,Mobile,"IG Carousel",0,3,5806,651,24,17,15,0,5
2023-01-18,Mobile,"IG Image",0,0,64593,21598,198,324,2077,41,192
2023-01-19,Smartwatch,"IG Carousel",0,5,9508,1137,37,24,23,0,10
2023-01-20,Mobile,"IG Carousel",0,3,6936,924,23,13,30,0,6
2023-01-21,Smartwatch,"IG Video",134,0,35586,11256,137,215,801,33,56
2023-01-22,Smartwatch,"IG Video",178,0,46422,19287,292,266,1174,22,96
2023-01-23,Mobile,"IG Reel",17,0,148217,68574,1112,843,5432,138,1805
2023-01-24,Mobile,"IG Image",0,0,65158,17031,215,460,910,19,151
2023-01-25,Earphone,"IG Image",0,0,73230,20063,368,299,1600,45,107
2023-01-26,Mobile,"IG Video",200,0,48251,18881,318,287,1576,31,94
2023-01-27,Mobile,"IG Image",0,0,68703,22614,341,362,1488,57,58
2023-01-28,Mobile,"IG Video",222,0,40034,16225,233,195,1247,33,81
2023-01-29,Smartwatch,"IG Carousel",0,2,6085,1744,77,48,54,1,16
2023-01-30,Mobile,"IG Reel",32,0,146107,57092,1128,2414,4365,133,1077
2023-01-31,Smartwatch,"IG Carousel",0,2,5848,1683,13,21,39,3,11
2023-02-01,Smartwatch,"IG Reel",46,0,147575,79546,551,2737,4407,179,1327
2023-02-02,Earphone,"IG Reel",35,0,132961,70563,1206,1617,6278,150,1151
2023-02-03,Smartwatch,"IG Reel",28,0,144094,60380,914,1148,5315,132,725
2023-02-04,Smartwatch,"IG Carousel",0,5,4396,660,10,16,25,1,5
2023-02-05,Mobile,"IG Carousel",0,4,3584,716,26,7,36,2,6
2023-02-06,Earphone,"IG Carousel",0,5,4690,1010,17,14,47,0,10
2023-02-07,Mobile,"IG Video",208,0,16997,8489,95,149,708,24,42
2023-02-08,Mobile,"IG Video",250,0,29149,8975,139,189,533,26,45
2023-02-09,Mobile,"IG Video",161,0,25071,9047,111,122,798,23,45
2023-02-10,Smartwatch,"IG Video",164,0,22051,8173,153,167,553,8,41
2023-02-11,Laptop,"IG Image",0,0,27282,11840,182,132,803,26,50
2023-02-12,Smartwatch,"IG Carousel",0,4,3887,849,42,15,30,1,7
2023-02-13,Mobile,"IG Video",141,0,16925,5005,53,79,355,10,25
2023-02-14,Mobile,"IG Carousel",0,2,3788,832,11,22,20,1,8
2023-02-15,Mobile,"IG Video",121,0,11041,4283,74,109,349,12,21
2023-02-16,Mobile,"IG Video",270,0,24027,9259,163,201,870,26,46
2023-02-17,Mobile,"IG Image",0,0,26719,10392,162,216,559,29,29
2023-02-18,Laptop,"IG Video",263,0,9604,3487,55,62,276,9,17
2023-02-19,Smartwatch,"IG Carousel",0,3,4571,1080,51,18,41,0,6
2023-02-20,Earphone,"IG Video",224,0,8741,2296,42,34,214,4,11
2023-02-21,Earphone,"IG Image",0,0,23367,6116,119,103,383,14,45
2023-02-22,Mobile,"IG Reel",55,0,141632,47309,266,932,2717,77,305
2023-02-23,Mobile,"IG Reel",41,0,134184,62495,869,1010,3942,177,637
2023-02-24,Laptop,"IG Reel",51,0,105868,46247,268,1632,2900,84,357
2023-02-25,Mobile,"IG Video",286,0,9222,4334,48,90,406,12,22
2023-02-26,Smartwatch,"IG Image",0,0,27599,9085,48,123,627,23,63
2023-02-27,Earphone,"IG Carousel",0,2,3416,815,14,23,29,1,7
2023-02-28,Mobile,"IG Video",227,0,21728,5937,110,101,349,16,30
2023-03-01,Mobile,"IG Carousel",0,3,8382,1466,4,15,55,4,8
2023-03-02,Smartwatch,"IG Image",0,0,74161,28930,157,386,2689,56,184
2023-03-03,Laptop,"IG Image",0,0,66472,24090,125,683,1211,37,220
2023-03-04,Earphone,"IG Video",291,0,12265,3668,69,92,327,7,18
2023-03-05,Smartwatch,"IG Image",0,0,62770,18001,273,360,1194,28,76
2023-03-06,Laptop,"IG Carousel",0,4,9038,1393,25,15,56,0,9
2023-03-07,Mobile,"IG Carousel",0,4,6790,803,7,21,37,2,6
2023-03-08,Mobile,"IG Carousel",0,2,7441,1303,15,17,47,1,8
2023-03-09,Mobile,"IG Carousel",0,2,8145,1924,87,25,61,5,19
2023-03-10,Earphone,"IG Carousel",0,3,6298,683,8,16,26,0,5
2023-03-11,Mobile,"IG Carousel",0,3,5899,1093,45,12,53,0,6
2023-03-12,Laptop,"IG Image",0,0,79416,23474,327,259,1235,69,204
2023-03-13,Laptop,"IG Image",0,0,61649,19925,352,485,1724,39,131
2023-03-14,Mobile,"IG Carousel",0,3,8130,2358,73,43,114,6,12
2023-03-15,Smartwatch,"IG Video",130,0,24889,10279,194,127,973,18,51
2023-03-16,Mobile,"IG Image",0,0,73829,32175,481,736,1613,81,180
2023-03-17,Mobile,"IG Carousel",0,4,9379,2621,35,31,100,6,24
2023-03-18,Mobile,"IG Carousel",0,3,9157,2254,67,58,55,6,15
2023-03-19,Smartwatch,"IG Carousel",0,3,4146,1079,42,17,43,1,6
2023-03-20,Mobile,"IG Carousel",0,4,9287,1123,14,29,29,0,9
2023-03-21,Mobile,"IG Reel",16,0,145415,80086,420,3791,5166,182,2028
2023-03-22,Mobile,"IG Image",0,0,79199,26189,509,442,1356,58,70
2023-03-23,Mobile,"IG Image",0,0,69923,25614,349,651,2286,70,77
2023-03-24,Mobile,"IG Carousel",0,3,6589,1241,10,30,60,1,9
2023-03-25,Earphone,"IG Reel",22,0,132284,66721,1093,1482,3622,83,695
2023-03-26,Mobile,"IG Image",0,0,63425,26113,435,336,1994,68,179
2023-03-27,Mobile,"IG Carousel",0,4,6736,1785,19,24,89,4,14
2023-03-28,Laptop,"IG Reel",48,0,111995,60379,1001,2244,5081,121,1697
2023-03-29,Laptop,"IG Image",0,0,78673,28576,375,843,2725,33,152
2023-03-30,Smartwatch,"IG Video",269,0,45321,17305,238,196,1305,46,87
2023-03-31,Earphone,"IG Video",278,0,25393,9461,138,280,555,18,47
2023-04-01,Mobile,"IG Carousel",0,3,4549,1052,27,18,35,1,6
2023-04-02,Earphone,"IG Video",163,0,54672,16126,172,182,938,22,81
2023-04-03,Mobile,"IG Video",138,0,58942,22107,379,340,1160,31,111
2023-04-04,Smartwatch,"IG Image",0,0,72627,20114,382,461,1529,41,74
2023-04-05,"Other Gadgets","IG Video",232,0,28162,11987,162,305,1157,14,60
2023-04-06,"Other Gadgets","IG Reel",53,0,131884,53988,866,2155,3144,160,1081
2023-04-07,Smartwatch,"IG Video",229,0,53581,13629,161,173,1120,29,68
2023-04-08,"Other Gadgets","IG Video",258,0,37955,12663,204,164,753,31,63
2023-04-09,Mobile,"IG Image",0,0,52278,14438,271,167,1393,36,44
2023-04-10,Smartwatch,"IG Video",271,0,59646,16587,312,289,958,27,83
2023-04-11,Smartwatch,"IG Reel",36,0,102296,51616,659,557,3545,116,965
2023-04-12,"Other Gadgets","IG Video",149,0,54254,14737,257,359,841,16,74
2023-04-13,Mobile,"IG Carousel",0,3,5475,784,11,13,29,1,6
2023-04-14,"Other Gadgets","IG Image",0,0,71279,20770,178,612,1204,30,207
2023-04-15,Laptop,"IG Reel",30,0,123270,39850,296,1486,3926,101,1139
2023-04-16,"Other Gadgets","IG Reel",29,0,115701,66829,937,929,5749,94,658
2023-04-17,"Other Gadgets","IG Video",294,0,24948,9920,127,192,749,24,50
2023-04-18,Mobile,"IG Image",0,0,50458,15013,217,400,1395,23,120
2023-04-19,Mobile,"IG Video",120,0,20084,7383,85,83,490,9,37
2023-04-20,"Other Gadgets","IG Carousel",0,3,4330,879,11,18,29,2,4
2023-04-21,Smartwatch,"IG Video",210,0,27325,7041,119,181,435,9,35
2023-04-22,Laptop,"IG Video",172,0,33604,14682,255,349,1038,22,73
2023-04-23,Earphone,"IG Video",229,0,36973,13629,224,244,929,30,68
2023-04-24,"Other Gadgets","IG Reel",44,0,124433,46171,545,1783,2390,65,339
2023-04-25,Mobile,"IG Reel",25,0,143936,58810,1042,2809,4119,75,461
2023-04-26,"Other Gadgets","IG Video",121,0,41950,12142,138,133,724,22,61
2023-04-27,Earphone,"IG Video",167,0,53083,13323,141,265,879,25,67
2023-04-28,"Other Gadgets","IG Image",0,0,55723,16420,233,331,1040,21,112
2023-04-29,Earphone,"IG Video",206,0,43526,11799,134,138,646,12,59
2023-04-30,Mobile,"IG Reel",59,0,185017,63990,1010,2238,6039,94,330
2023-05-01,Earphone,"IG Image",0,0,78559,32336,326,426,1811,80,108
2023-05-02,Earphone,"IG Image",0,0,93195,28287,226,788,2442,41,59
2023-05-03,Laptop,"IG Video",190,0,47249,17025,297,434,1624,42,85
2023-05-04,Earphone,"IG Reel",25,0,295300,104041,1862,3542,5595,258,1800
2023-05-05,Laptop,"IG Image",0,0,92084,23140,152,536,2208,32,205
2023-05-06,Mobile,"IG Reel",52,0,233182,102075,1448,1827,8883,257,1506
2023-05-07,"Other Gadgets","IG Video",265,0,51718,25341,453,392,2503,68,127
2023-05-08,"Other Gadgets","IG Reel",55,0,292266,160274,2652,6337,13931,447,2297
2023-05-09,"Other Gadgets","IG Video",151,0,33368,16655,245,177,1206,48,83
2023-05-10,Smartwatch,"IG Image",0,0,104214,43949,720,932,3330,68,178
2023-05-11,Mobile,"IG Video",155,0,42354,14838,180,180,927,29,74
2023-05-12,"Tech Tips","IG Reel",28,0,245911,106943,936,3830,9870,198,2211
2023-05-13,Smartwatch,"IG Reel",50,0,216891,129883,1436,3411,11194,224,3844
2023-05-14,"Tech Tips","IG Video",176,0,41548,18574,259,533,1107,45,93
2023-05-15,"Tech Tips","IG Image",0,0,99345,26803,438,500,2511,72,110
2023-05-16,"Other Gadgets","IG Image",0,0,99344,36662,268,915,1924,66,165
2023-05-17,"Other Gadgets","IG Reel",34,0,288754,112244,887,3029,7689,183,3135
2023-05-18,"Tech Tips","IG Reel",21,0,296333,99686,899,1763,5857,131,1466
2023-05-19,"Tech Tips","IG Reel",51,0,287697,153194,829,3167,12068,199,1670
2023-05-20,"Other Gadgets","IG Reel",60,0,189723,112821,1835,4782,7611,117,2948
2023-05-21,Earphone,"IG Reel",42,0,164251,52537,396,1263,3628,75,1292
2023-05-22,Mobile,"IG Reel",36,0,214679,93949,1295,984,8926,174,2325
2023-05-23,Mobile,"IG Image",0,0,77029,20858,207,471,1757,26,152
2023-05-24,"Other Gadgets","IG Video",282,0,54733,17157,265,406,1224,24,86
2023-05-25,Earphone,"IG Image",0,0,86968,26201,501,737,1824,46,68
2023-05-26,Smartwatch,"IG Image",0,0,98348,30459,268,423,2373,77,108
2023-05-27,"Other Gadgets","IG Reel",54,0,174606,56412,603,1497,4040,124,296
2023-05-28,"Other Gadgets","IG Carousel",0,5,7932,2167,92,30,97,0,22
2023-05-29,"Other Gadgets","IG Video",204,0,35093,14629,178,316,1389,22,73
2023-05-30,Laptop,"IG Reel",54,0,226270,97599,1886,3687,7036,255,746
2023-05-31,Mobile,"IG Reel",19,0,189152,109270,2071,2213,8577,188,2206
2023-06-01,Smartwatch,"IG Video",128,0,65740,30206,577,530,1516,65,151
2023-06-02,Mobile,"IG Video",281,0,60118,22179,434,407,2186,34,111
2023-06-03,Mobile,"IG Reel",29,0,321602,162552,2173,5571,14931,276,1397
2023-06-04,Smartwatch,"IG Image",0,0,81779,34582,425,454,2185,68,186
2023-06-05,Smartwatch,"IG Video",250,0,49413,21435,335,314,1255,38,107
2023-06-06,"Tech Tips","IG Video",268,0,44095,19033,253,534,1644,28,95
2023-06-07,Mobile,"IG Reel",57,0,221326,102620,1053,2910,6598,150,2582
2023-06-08,Mobile,"IG Image",0,0,83736,20987,123,526,1106,27,196
2023-06-09,"Tech Tips","IG Reel",46,0,221007,128024,1048,5014,11209,196,1189
2023-06-10,"Tech Tips","IG Video",131,0,43841,12847,196,134,737,33,64
2023-06-11,Mobile,"IG Reel",36,0,237182,123931,1616,3711,8863,283,888
2023-06-12,"Tech Tips","IG Reel",22,0,195266,96736,1536,1188,7442,117,2438
2023-06-13,Mobile,"IG Video",243,0,42618,18645,335,403,990,37,93
2023-06-14,"Other Gadgets","IG Video",140,0,55130,20000,207,307,1822,44,100
2023-06-15,"Tech Tips","IG Reel",60,0,193492,65554,624,1641,4302,182,600
2023-06-16,"Tech Tips","IG Video",237,0,44745,12153,146,155,853,23,61
2023-06-17,Smartwatch,"IG Reel",48,0,331048,147678,2109,5638,10537,195,4052
2023-06-18,Smartwatch,"IG Reel",32,0,339708,107022,1099,3724,10659,259,2428
2023-06-19,Smartwatch,"IG Video",270,0,44750,21964,336,272,1581,49,110
2023-06-20,"Tech Tips","IG Video",174,0,44595,22184,366,318,1336,59,111
2023-06-21,"Tech Tips","IG Reel",20,0,331362,130558,2602,5582,7736,335,3383
2023-06-22,"Tech Tips","IG Reel",59,0,247730,119479,656,1936,9973,250,1406
2023-06-23,"Tech Tips","IG Image",0,0,104469,31539,617,563,1897,63,97
2023-06-24,Mobile,"IG Reel",26,0,184277,75409,689,1739,7466,98,816
2023-06-25,Smartwatch,"IG Video",160,0,50240,21660,283,627,1235,63,108
2023-06-26,Mobile,"IG Image",0,0,109200,47327,302,884,3072,113,463
2023-06-27,Smartwatch,"IG Video",288,0,58130,16737,213,194,1538,30,84
2023-06-28,Mobile,"IG Reel",54,0,183392,56120,615,2792,3637,82,1454
2023-06-29,Mobile,"IG Reel",33,0,291605,90853,908,4229,8788,269,1829
2023-06-30,"Tech Tips","IG Reel",51,0,272829,155724,2054,6987,10041,270,2655
2023-07-01,"Other Gadgets","IG Video",209,0,59906,25713,435,495,1380,43,129
2023-07-02,Smartwatch,"IG Video",275,0,44787,20884,355,572,1955,26,104
2023-07-03,Earphone,"IG Video",204,0,41694,18917,190,196,1364,21,95
2023-07-04,"Tech Tips","IG Reel",33,0,145111,74688,994,1208,6312,113,1692
2023-07-05,"Other Gadgets","IG Video",135,0,56021,21210,355,499,1847,46,106
2023-07-06,"Tech Tips","IG Carousel",0,5,5545,1113,40,13,39,1,10
2023-07-07,Mobile,"IG Video",145,0,58567,15242,285,291,1087,20,76
2023-07-08,Earphone,"IG Reel",21,0,146425,62327,1122,2654,5138,111,431
2023-07-09,"Other Gadgets","IG Image",0,0,103541,42123,618,891,4104,85,349
2023-07-10,Smartwatch,"IG Video",237,0,61554,29598,484,454,1963,81,148
2023-07-11,Earphone,"IG Reel",19,0,92475,45585,691,1391,3529,87,1365
2023-07-12,"Tech Tips","IG Reel",59,0,125775,62752,1204,1829,5625,123,1131
2023-07-13,Earphone,"IG Video",148,0,50684,20811,212,351,1061,39,104
2023-07-14,"Other Gadgets","IG Video",132,0,52672,19648,227,342,1029,30,98
2023-07-15,Earphone,"IG Reel",15,0,141150,51157,336,2492,3343,132,297
2023-07-16,"Tech Tips","IG Image",0,0,108521,41148,373,437,2239,49,322
2023-07-17,"Tech Tips","IG Video",147,0,51444,18367,257,386,1645,30,92
2023-07-18,Mobile,"IG Video",198,0,56094,22955,378,509,1381,60,115
2023-07-19,"Other Gadgets","IG Image",0,0,129694,46486,320,1394,3766,47,177
2023-07-20,Mobile,"IG Video",187,0,61521,25747,317,346,2001,35,129
2023-07-21,"Other Gadgets","IG Image",0,0,128565,55743,519,696,5404,101,336
2023-07-22,Mobile,"IG Video",207,0,38151,17079,267,272,1442,44,85
2023-07-23,"Tech Tips","IG Image",0,0,100660,33171,470,579,1971,49,189
2023-07-24,"Tech Tips","IG Image",0,0,127616,37039,667,853,2465,109,179
2023-07-25,"Other Gadgets","IG Image",0,0,127414,39221,275,561,3836,76,136
2023-07-26,Mobile,"IG Reel",33,0,149516,65377,579,1642,3373,73,766
2023-07-27,Mobile,"IG Reel",30,0,102025,49122,662,667,2460,135,886
2023-07-28,"Other Gadgets","IG Reel",43,0,103195,53843,765,2093,5153,102,1390
2023-07-29,Mobile,"IG Image",0,0,128996,45668,522,621,2810,60,175
2023-07-30,Mobile,"IG Carousel",0,3,5131,788,38,10,31,0,8
2023-07-31,Mobile,"IG Image",0,0,92127,24027,151,517,1753,34,213
2023-08-01,Smartwatch,"IG Carousel",0,3,3643,985,35,17,48,2,10
2023-08-02,Smartwatch,"IG Video",183,0,54517,26645,335,780,2058,69,133
2023-08-03,"Tech Tips","IG Image",0,0,91996,41215,631,453,2772,91,234
2023-08-04,Mobile,"IG Video",229,0,47774,21886,283,421,2102,48,109
2023-08-05,"Tech Tips","IG Image",0,0,96314,38503,225,414,3032,80,233
2023-08-06,"Tech Tips","IG Reel",44,0,102613,35288,339,1430,3207,44,743
2023-08-07,"Tech Tips","IG Video",267,0,73321,27154,357,465,2465,32,136
2023-08-08,Smartwatch,"IG Image",0,0,85341,25993,457,628,1325,65,221
2023-08-09,Smartwatch,"IG Video",159,0,52592,13543,241,370,1102,29,68
2023-08-10,"Other Gadgets","IG Video",204,0,60955,18796,370,408,1063,31,94
2023-08-11,"Tech Tips","IG Video",150,0,41452,17865,344,299,924,39,89
2023-08-12,Smartwatch,"IG Image",0,0,91648,39793,756,628,2834,113,192
2023-08-13,"Other Gadgets","IG Video",285,0,49403,21892,228,501,1895,36,109
2023-08-14,Smartwatch,"IG Carousel",0,5,3883,600,7,6,14,1,6
2023-08-15,Mobile,"IG Reel",43,0,107766,42656,520,881,3115,95,492
2023-08-16,Smartwatch,"IG Image",0,0,88839,39119,776,1150,2010,61,288
2023-08-17,Smartwatch,"IG Reel",30,0,93911,31209,199,1124,2848,39,404
2023-08-18,Earphone,"IG Carousel",0,3,4191,763,28,18,16,2,5
2023-08-19,Mobile,"IG Image",0,0,99014,38558,763,990,2899,95,384
2023-08-20,"Other Gadgets","IG Video",278,0,65318,23937,443,345,2220,51,120
2023-08-21,Smartwatch,"IG Reel",21,0,116484,34969,533,1087,3239,50,580
2023-08-22,"Tech Tips","IG Reel",53,0,87570,36020,569,784,3384,73,1068
2023-08-23,Mobile,"IG Reel",21,0,90673,41487,729,1885,2689,51,539
2023-08-24,Smartwatch,"IG Video",200,0,53541,20170,347,289,1529,44,101
2023-08-25,"Tech Tips","IG Image",0,0,97421,25768,326,279,1511,26,181
2023-08-26,Earphone,"IG Reel",42,0,95149,32993,421,984,2036,35,950
2023-08-27,Mobile,"IG Video",153,0,53643,22241,387,296,1884,57,111
2023-08-28,"Tech Tips","IG Image",0,0,82902,28312,472,820,2045,85,99
2023-08-29,Mobile,"IG Video",270,0,54279,15079,247,166,1428,21,75
2023-08-30,"Other Gadgets","IG Image",0,0,98752,39880,679,828,2606,108,176
2023-08-31,Mobile,"IG Carousel",0,5,4059,533,20,15,18,0,3
2023-09-01,"Tech Tips","IG Carousel",0,5,5297,1586,54,42,78,2,11
2023-09-02,"Other Gadgets","IG Carousel",0,4,3264,786,19,14,22,0,4
2023-09-03,"Other Gadgets","IG Video",177,0,61807,19160,374,555,1437,49,96
2023-09-04,Smartwatch,"IG Image",0,0,91329,32381,449,851,2955,95,212
2023-09-05,"Tech Tips","IG Carousel",0,3,5344,1588,79,20,68,0,12
2023-09-06,"Other Gadgets","IG Video",177,0,50682,16891,176,367,1678,50,84
2023-09-07,Smartwatch,"IG Carousel",0,4,5285,708,34,9,34,0,5
2023-09-08,"Tech Tips","IG Carousel",0,2,3766,1069,17,31,48,0,10
2023-09-09,Mobile,"IG Video",223,0,51534,23349,389,405,2184,25,117
2023-09-10,"Tech Tips","IG Video",193,0,44240,17721,343,438,1302,44,89
2023-09-11,"Tech Tips","IG Reel",15,0,107192,57266,1066,1404,4064,67,1471
2023-09-12,"Other Gadgets","IG Reel",49,0,105101,39442,518,1935,2215,83,985
2023-09-13,Mobile,"IG Video",154,0,41292,10620,171,172,623,29,53
2023-09-14,Smartwatch,"IG Carousel",0,3,4543,853,42,14,21,0,7
2023-09-15,"Other Gadgets","IG Video",140,0,35367,13518,144,329,697,26,68
2023-09-16,"Tech Tips","IG Reel",52,0,144009,74400,1313,3631,3846,83,2022
2023-09-17,Smartwatch,"IG Video",281,0,40855,13279,179,235,1130,33,66
2023-09-18,"Tech Tips","IG Image",0,0,96397,24786,255,588,1273,26,224
2023-09-19,"Tech Tips","IG Reel",17,0,131049,51042,999,1613,4446,151,406
2023-09-20,"Tech Tips","IG Reel",21,0,112246,57678,1064,1716,5395,77,1270
2023-09-21,Smartwatch,"IG Reel",50,0,124969,53890,611,2096,3144,144,456
2023-09-22,"Tech Tips","IG Reel",55,0,144240,82794,1192,3500,7205,202,1063
2023-09-23,Mobile,"IG Image",0,0,97078,28297,536,364,1677,62,212
2023-09-24,Mobile,"IG Carousel",0,2,5945,1660,73,31,44,2,11
2023-09-25,Smartwatch,"IG Reel",36,0,106197,48130,717,884,3647,119,325
2023-09-26,Mobile,"IG Image",0,0,80664,33124,206,926,2425,49,260
2023-09-27,Mobile,"IG Video",181,0,64660,20788,315,287,2002,46,104
2023-09-28,Mobile,"IG Carousel",0,5,5532,1644,81,44,65,3,11
2023-09-29,Mobile,"IG Image",0,0,82339,25753,444,399,2552,31,227
2023-09-30,Mobile,"IG Video",147,0,53443,24738,369,721,1813,59,124
